,precision,recall,f1-score
adjustment disorder with mixed anxiety and depressed mood,0.0,0.0,0.0
attention-deficit/hyperactivity disorder,0.7143,0.3571,0.4762
autism spectrum disorder,0.6667,0.8571,0.75
bipolar disorder (manic episode),0.0,0.0,0.0
bipolar i disorder,0.0,0.0,0.0
conduct disorder,0.75,0.4286,0.5455
delirium,0.9231,0.8571,0.8889
generalized anxiety disorder,0.359,1.0,0.5283
intellectual disabilities,1.0,0.1429,0.25
intellectual disability,0.0,0.0,0.0
"intellectual disability, autism spectrum disorder, attention-deficit/hyperactivity disorder",0.0,0.0,0.0
major depressive disorder,0.6667,0.7143,0.6897
major neurocognitive disorder,1.0,0.5714,0.7273
manic episode,0.7692,0.7143,0.7407
mild neurocognitive disorder,0.6364,1.0,0.7778
no diagnosis,0.0,0.0,0.0
normal,1.0,0.1176,0.2105
obsessive-compulsive disorder,0.9167,0.7857,0.8462
oppositional defiant disorder,0.5909,0.9286,0.7222
panic disorder,1.0,1.0,1.0
persistent depressive disorder,0.8571,0.8571,0.8571
post-operative recovery symptoms,0.0,0.0,0.0
posttraumatic stress disorder,0.9333,1.0,0.9655
schizophrenia,0.8889,0.5714,0.6957
tourette's disorder,1.0,0.9286,0.963
accuracy,0.7059,0.7059,0.7059
macro avg,0.5869,0.5133,0.5054
weighted avg,0.8173,0.7059,0.6961
